Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,MA10,MA50,Returns,Volatility,RSI,MACD,UpperBand,LowerBand
2021-10-13,20.94,20.92,20.99,20.71,180.65M,1.31%,20.94,180650000.0,20.654999999999998,21.2528,0.013062409288824295,0.02250555657082616,35.19230769230769,-0.21984965735803286,22.53653617212458,19.70646382787542
2021-10-14,21.75,21.29,21.75,21.12,243.59M,3.87%,21.75,243590000.0,20.758,21.282400000000003,0.0386819484240688,0.025266047996626483,47.058823529411775,-0.1340903727049323,22.445919255513342,19.74808074448666
2021-10-15,21.86,21.81,21.93,21.66,226.99M,0.51%,21.86,226990000.0,20.869999999999997,21.3068,0.005057471264367841,0.025223802662423623,51.886792452830186,-0.056597025780654064,22.439015977348614,19.750984022651384
2021-10-18,22.22,21.75,22.29,21.64,189.49M,1.65%,22.22,189490000.0,21.119,21.343799999999998,0.01646843549862753,0.016587632793086504,66.17021276595747,0.033480063983731156,22.585703634918804,19.715296365081198
2021-10-19,22.29,22.28,22.38,22.04,161.47M,0.32%,22.29,161470000.0,21.303,21.383599999999998,0.0031503150315030926,0.01433260643680989,69.28104575163401,0.10925578885345288,22.725556138164293,19.679443861835708
2021-10-20,22.1,22.3,22.43,21.98,146.28M,-0.85%,22.1,146280000.0,21.442999999999998,21.426800000000004,-0.008524001794526614,0.015245485923291086,65.06550218340618,0.15222245889265196,22.751442637000565,19.669557362999434
2021-10-21,22.69,22.1,22.71,22.08,187.59M,2.67%,22.69,187590000.0,21.605,21.486600000000003,0.026696832579185426,0.016191880800317717,68.93203883495151,0.23121660255421617,22.800738819185636,19.641261180814357
2021-10-22,22.73,22.82,23.13,22.56,249.38M,0.18%,22.73,249380000.0,21.795,21.542999999999996,0.0017628911414719894,0.014970351508658022,85.8851674641149,0.2936625373026871,22.931346677644935,19.575653322355063
2021-10-25,23.17,22.97,23.35,22.77,230.23M,1.94%,23.17,230230000.0,22.041999999999998,21.6026,0.01935767707875069,0.014272337745008232,84.87179487179495,0.37434054843265585,23.207733055741762,19.45026694425824
2021-10-26,24.72,23.99,25.26,23.92,485.90M,6.69%,24.72,485900000.0,22.447,21.698,0.0668968493741906,0.021800498138912005,88.65384615384622,0.55693055090277,23.916849939057517,19.143150060942478
2021-10-27,24.45,24.47,25.09,24.28,245.99M,-1.09%,24.45,245990000.0,22.798000000000002,21.797800000000002,-0.010922330097087318,0.023674820382054287,83.13725490196083,0.6721001476995525,24.393848575093358,19.059151424906638
2021-10-28,24.94,24.88,24.95,24.52,234.20M,2.00%,24.94,234200000.0,23.117,21.915800000000004,0.020040899795501055,0.022376726670400176,88.41121495327113,0.7937617959283756,24.91878107398568,18.95621892601432
2021-10-29,25.57,25.0,25.71,25.0,292.50M,2.53%,25.57,292500000.0,23.488,22.0312,0.025260625501202894,0.022391808122788334,91.6239316239317,0.9302914428777029,25.51343848346314,18.844561516536864
2021-11-01,25.83,25.65,25.89,25.23,265.74M,1.02%,25.83,265740000.0,23.849,22.1314,0.010168165819319341,0.022466261846226295,92.43421052631582,1.047398243845091,25.986915477442356,18.981084522557648
2021-11-02,26.4,25.82,26.68,25.8,294.11M,2.21%,26.4,294110000.0,24.259999999999998,22.2202,0.022067363530778206,0.022114936636985803,92.78996865203766,1.1726825096304232,26.55710744502753,19.005892554972473
2021-11-03,26.6,26.67,26.78,26.23,239.91M,0.76%,26.6,239910000.0,24.71,22.316399999999998,0.007575757575757791,0.02055892176368566,92.02772963604856,1.2734302106345368,27.082286735264496,19.07071326473551
2021-11-04,29.8,27.23,31.36,27.12,1.15B,12.03%,29.8,1150000000.0,25.421,22.468199999999996,0.12030075187969924,0.03822587747043857,94.80812641083524,1.5931222246903616,28.403136581883338,18.622863418116665
2021-11-05,29.75,30.19,31.4,29.41,851.26M,-0.17%,29.75,851260000.0,26.123,22.621799999999997,-0.001677852348993314,0.03850525341937809,94.03508771929826,1.8214493328572843,29.413349881661325,18.504650118338674
2021-11-08,30.8,30.15,31.1,29.91,503.10M,3.53%,30.8,503100000.0,26.886000000000003,22.785,0.03529411764705892,0.03844184512046832,94.64847848898218,2.063341519223311,30.488334512275145,18.439665487724852
2021-11-09,30.66,32.28,32.31,29.96,646.75M,-0.45%,30.66,646750000.0,27.48,22.9444,-0.004545454545454519,0.037342572659481,95.14767932489451,2.2181762348180776,31.311244812965175,18.615755187034825
2021-11-10,29.46,29.36,30.85,28.78,636.21M,-3.91%,29.46,636210000.0,27.981,23.0858,-0.03913894324853229,0.041021382229273096,83.54806739345887,2.218480627551095,31.743881745569038,19.03511825443096
2021-11-11,30.39,30.47,30.59,29.78,332.17M,3.16%,30.39,332170000.0,28.526,23.2448,0.031568228105906204,0.041198772158785826,84.8816029143898,2.2676253155607107,32.307482537263276,19.335517462736718
2021-11-12,30.39,30.01,30.68,29.63,413.05M,0.00%,30.39,413050000.0,29.008,23.404600000000002,0.0,0.041659049155245056,84.25047438330171,2.280287104564703,32.758922321275556,19.73707767872445
2021-11-15,30.02,30.55,30.64,29.25,384.91M,-1.22%,30.02,384910000.0,29.427000000000003,23.548199999999998,-0.012175057584731808,0.04272101480660144,78.3119658119658,2.2347054622793436,33.06694310704988,20.209056892950112
2021-11-16,30.2,29.76,30.39,29.71,264.48M,0.60%,30.2,264480000.00000003,29.807,23.699,0.005996002664889977,0.04276662020576712,81.01402373247032,2.1878855948218217,33.307557782060314,20.759442217939682
2021-11-17,29.26,30.42,30.51,28.8,428.51M,-3.11%,29.26,428510000.0,30.073,23.8374,-0.031125827814569407,0.04513054208561249,72.22222222222223,2.051284438325794,33.28588010668681,21.497119893313183
2021-11-18,31.68,32.37,32.76,31.32,781.71M,8.27%,31.68,781710000.0,30.261000000000003,24.027400000000004,0.08270676691729317,0.03550177464508668,76.54213727193745,2.113932712429179,33.5952438343594,22.0867561656406
2021-11-19,32.98,32.24,33.09,31.91,533.87M,4.10%,32.98,533870000.0,30.584000000000003,24.2374,0.04103535353535337,0.03692410786515228,78.48605577689243,2.2426294204881962,34.016169167915706,22.690830832084288
2021-11-22,31.96,33.52,34.65,31.9,754.34M,-3.09%,31.96,754340000.0,30.7,24.433600000000002,-0.030927835051546282,0.0379979758839559,71.3846153846154,2.2365356228650484,34.11599124454227,23.470008755457727
2021-11-23,31.75,31.54,32.36,30.88,532.16M,-0.66%,31.75,532159999.99999994,30.809000000000005,24.623800000000003,-0.0065707133917396465,0.038055945655199035,69.79246733282092,2.189521557800024,34.25941307741135,24.029586922588646
2021-11-24,32.67,31.46,32.85,30.93,435.16M,2.90%,32.67,435160000.0,31.130000000000003,24.8304,0.028976377952755872,0.0354566093677624,63.37371854613235,2.2011256771046313,34.39575869252113,24.715241307478877
2021-11-26,31.5,32.6,32.71,31.35,283.07M,-3.58%,31.5,283070000.0,31.241000000000003,25.0156,-0.03581267217630857,0.03744912522667456,57.38396624472574,2.0917998369346833,34.275120130250464,25.491879869749546
2021-11-29,33.38,32.37,33.41,32.04,454.96M,5.97%,33.38,454960000.0,31.540000000000003,25.2452,0.05968253968253978,0.041264973360753854,60.17350157728708,2.132279023845012,34.43344024574158,26.114559754258423
2021-11-30,32.68,33.17,33.35,31.86,622.07M,-2.10%,32.68,622070000.0,31.806,25.476600000000005,-0.02097064110245661,0.041883480367360976,57.62839879154078,2.0838535546283765,34.34047792406821,26.892522075931794
2021-12-01,31.43,33.22,33.29,31.38,485.80M,-3.82%,31.43,485800000.0,31.928999999999995,25.6802,-0.03824969400244793,0.04452493427601955,57.41158765989466,1.9224506536224233,34.029975398552715,27.706024601447275
2021-12-02,32.13,31.21,32.48,31.02,472.89M,2.23%,32.13,472890000.0,32.216,25.884,0.022271714922049046,0.042900080350310864,56.661562021439515,1.8299275755850282,33.629770079573056,28.659229920426952
